Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,
27-01-2017,77,71.3,68,72,68.9,66,100,92.7,69,10,6.8,2,27,26.9,26.9
28-01-2017,82,72.5,66,70,67.5,63,100,86.3,51,15,7.8,2,27,26.9,26.9
29-01-2017,84,73.4,63,70,63.4,55,100,75.4,39,10,6.1,0,27,26.9,26.9
30-01-2017,86,70.2,0,66,56.6,0,100,68.4,0,10,5.8,0,27,26.4,0
31-01-2017,88,74.9,64,66,50.4,36,100,51.4,17,10,5.4,2,27,26.9,26.9
01-02-2017,86,69,54,63,44.6,27,100,54.2,12,10,4.8,0,27,26.9,26.9
02-02-2017,86,69.8,52,63,48.9,32,100,60,14,13,5.5,0,27,27,26.9
03-02-2017,82,67.4,54,63,53.7,45,100,69.1,26,12,4.4,0,27,27,26.9
04-02-2017,82,68.5,55,64,52.3,43,100,63.9,26,12,5.5,0,27,26.9,26.9
05-02-2017,84,68.8,54,61,46.9,32,100,55.5,16,8,4.4,1,27,26.9,26.9
06-02-2017,84,69.2,54,61,47.9,41,100,53.5,22,8,3.3,0,27,26.9,26.9
07-02-2017,86,70.4,54,55,48.2,37,94,53,19,9,3.5,0,27,26.9,26.9
08-02-2017,86,70.2,54,57,46.1,37,100,50,18,9,4.8,0,27,26.9,26.9
09-02-2017,86,69.5,54,55,46.5,36,100,51.5,17,9,4.2,0,27,26.9,26.8
10-02-2017,88,69.4,52,55,42.2,21,100,49.8,9,10,4.7,0,27,26.9,26.8
11-02-2017,86,68.9,52,59,46.7,25,100,57.3,11,9,4.8,0,27,26.9,26.9
12-02-2017,84,67.3,54,59,52.1,39,100,66.8,21,12,6.7,0,27,27,26.9
13-02-2017,82,69.1,54,64,54.5,46,100,65.8,30,15,7.3,0,27,27,26.9
14-02-2017,181,72.3,59,66,61.3,57,100,76.3,3,15,8.2,0,27.1,26.5,0
15-02-2017,84,70.9,55,64,52.8,39,100,60.4,20,15,7.6,1,27.1,27,27
16-02-2017,82,69.1,54,59,47.4,37,100,52.3,23,17,8,0,27.1,27,26.9
17-02-2017,84,69.4,52,55,51.2,45,100,58.7,28,17,7.5,0,27,27,26.9
18-02-2017,86,72.5,54,57,48.4,39,100,50.9,19,21,7.7,0,27,27,26.9
19-02-2017,84,70.4,55,61,48.5,43,100,52.7,23,10,3.7,0,27,26.9,26.9
20-02-2017,90,72.7,55,55,45.2,34,94,44.3,15,10,2.8,0,27,26.9,26.8
21-02-2017,91,76.2,57,61,46.4,34,82,41,13,12,3.6,0,26.9,26.9,26.8
22-02-2017,93,77.2,59,55,46.1,36,82,40,13,13,4.5,1,26.9,26.9,26.8
23-02-2017,91,76,57,57,46.5,34,88,42.6,14,13,5.6,0,27,26.9,26.8
24-02-2017,93,77.1,55,63,47.7,30,100,47.6,11,15,6.5,0,27,26.9,26.9
25-02-2017,91,76.7,59,66,49.8,32,100,51.9,12,13,5.3,0,27,26.9,26.8
26-02-2017,90,75.3,61,68,55.3,39,100,60.3,18,14,5.8,0,27,26.9,26.8
27-02-2017,88,73.6,61,64,49.6,30,100,54.4,13,17,7.9,0,27,26.9,26.9
28-02-2017,90,75.9,55,61,37.6,23,100,35.3,9,16,8.6,2,27,26.9,26.8
01-03-2017,88,73.4,54,52,43,30,94,40.9,13,17,7.9,0,27,26.9,26.8
02-03-2017,88,72.9,52,64,46.5,21,100,53.8,9,13,6,0,27,26.9,26.8
03-03-2017,90,76.5,59,70,55.9,45,100,56.9,21,12,6.9,0,26.9,26.8,26.7
04-03-2017,90,77.9,68,72,62.8,52,100,65.7,27,10,6.3,3,26.9,26.8,26.7
05-03-2017,90,79.9,70,72,63.7,55,100,62.4,31,14,5,1,26.9,26.8,26.7
06-03-2017,90,77.3,70,72,67.2,59,100,75,36,20,6.6,0,26.9,26.8,26.7
07-03-2017,90,77.5,70,72,65.9,59,100,72.3,36,14,5.2,1,26.9,26.8,26.7
08-03-2017,88,78.1,72,73,64.4,50,100,68.9,29,8,4.6,1,26.9,26.8,26.7
09-03-2017,91,78.7,70,75,64.5,55,100,66.3,29,12,6.7,1,26.9,26.8,26.7
10-03-2017,90,79.2,68,70,60.2,54,94,55.5,31,12,6.9,0,26.9,26.8,26.7
11-03-2017,90,79.2,66,61,51.1,37,83,40.8,21,9,5,1,26.9,26.9,26.8
12-03-2017,90,79.2,66,72,54.9,43,100,49.4,20,8,4.4,0,26.9,26.9,26.8
13-03-2017,90,79.2,68,72,62.8,55,100,61.5,31,10,4.8,0,26.9,26.9,26.8
14-03-2017,86,76.3,70,73,68.2,61,100,78.8,45,14,8.4,2,26.9,26.9,26.8
15-03-2017,84,76.7,68,72,64,57,100,69.1,40,13,8.6,5,27,26.9,26.8
16-03-2017,86,76.8,66,70,58.9,50,100,59.1,29,9,4.9,0,27,26.9,26.8
17-03-2017,90,79.8,64,70,60.4,54,100,55.7,29,8,4.4,0,26.9,26.9,26.8
18-03-2017,91,80.1,68,70,58.7,45,100,54.9,21,9,4.9,1,27,26.9,26.8
19-03-2017,91,80.7,68,73,58.5,43,100,54.5,18,10,5.2,1,27,26.9,26.8
20-03-2017,90,79.8,70,72,62.3,52,100,59.6,27,10,4.5,1,26.9,26.9,26.8
21-03-2017,90,79.3,70,70,59.9,52,94,55.7,27,9,4.9,1,27,26.9,26.8
22-03-2017,91,79.4,66,68,57.9,50,100,52.2,24,9,5.2,0,27,26.4,0
23-03-2017,91,79.1,68,66,56.1,45,88,50,22,9,5.6,2,27,26.9,26.8
24-03-2017,91,79.6,66,64,51.1,41,94,41.8,17,9,5.9,0,27,26.9,26.8
25-03-2017,91,77.5,0,64,50.1,0,83,42.1,0,9,5.1,0,27,26.3,0
26-03-2017,93,80.1,66,59,51.5,45,78,40.3,19,12,6,0,27,26.9,26.8
27-03-2017,95,80.9,64,63,51,39,83,40,15,14,8.2,0,27,26.9,26.8
28-03-2017,91,80.5,66,63,53.8,43,88,44.7,18,12,7.3,3,27,26.9,26.8
29-03-2017,93,77.9,0,64,54.2,0,83,44.5,0,7,4.8,0,26.9,25.8,0
30-03-2017,95,78.8,0,63,51.7,0,78,40.3,0,12,6.8,2,27,25.3,0
31-03-2017,95,80,0,63,48.1,0,83,34.1,0,14,9.7,5,27,25.5,0
01-04-2017,95,78.3,0,61,51.6,0,68,39.2,0,10,4.5,0,27,25.8,0
02-04-2017,95,82.3,70,63,58,54,73,45.5,26,10,5.1,2,26.9,26.9,26.8
03-04-2017,95,81.2,0,63,57.8,0,78,45,0,7,4,0,26.9,26.3,0
04-04-2017,95,82.2,72,68,62.4,54,83,53.9,26,8,6,3,26.9,26.9,26.8
05-04-2017,95,79.1,70,73,66.2,57,100,68.1,30,20,7.4,0,26.9,26.9,26.8
06-04-2017,91,79.1,0,72,64,0,100,60.8,0,12,5,0,26.9,26.3,0
07-04-2017,95,82.3,73,72,64.1,54,89,57.5,26,12,5.1,0,26.9,26.8,26.8
08-04-2017,95,83.7,70,72,59,50,89,47.8,22,12,5.7,0,26.9,26.8,26.8
09-04-2017,95,82.9,72,72,57.5,46,88,46.7,19,10,5,0,26.9,26.8,26.8
10-04-2017,95,83.3,73,73,59.2,50,94,48.5,23,12,5.3,0,26.9,26.8,26.7
11-04-2017,95,81.5,0,70,56.4,0,83,45.2,0,14,5.2,0,26.9,26.3,0
12-04-2017,95,83,70,68,56.9,45,88,47.4,19,13,5.3,0,26.9,26.8,26.8
13-04-2017,95,80.3,0,70,49,0,100,40.5,0,14,4.8,0,26.9,26.3,0
14-04-2017,95,82.7,64,73,48.9,34,94,38.8,12,13,6.2,0,26.9,26.8,26.8
15-04-2017,95,83.4,70,73,55.2,37,100,45.1,13,13,6.4,0,26.9,26.8,26.7
16-04-2017,97,82.6,72,72,61.2,48,94,53.3,22,15,9.2,2,26.8,26.8,26.7
17-04-2017,95,81.3,70,68,61.9,55,94,55.3,26,13,7.9,2,26.9,26.8,26.7
18-04-2017,99,83.4,0,72,59.2,0,100,49.5,0,13,7.8,0,26.9,26.3,0
19-04-2017,95,84.4,75,75,64.9,54,100,57,25,16,8.5,2,26.9,26.8,26.7
20-04-2017,93,80.5,73,75,67.3,59,100,67.2,36,17,8.9,0,26.9,26.8,26.7
21-04-2017,91,76.3,0,73,67.4,0,100,73.5,0,22,9.6,1,26.9,26.3,0
22-04-2017,93,83.4,72,75,64.2,54,100,58.8,26,15,7.5,0,26.9,26.8,26.8
23-04-2017,95,83.6,73,73,58.7,48,100,48.8,20,13,6.3,0,26.9,26.8,26.8
24-04-2017,95,83.7,0,73,56.9,0,100,43.8,0,12,7.2,0,26.9,26.3,0
25-04-2017,95,81.9,73,73,61.1,50,94,52.4,23,20,7.7,0,26.9,26.8,26.8
26-04-2017,97,85.4,72,64,54.3,45,73,37.6,18,10,5,0,26.9,26.8,26.8
27-04-2017,97,83.5,73,75,59.4,48,100,49.1,19,18,7.3,0,26.9,26.9,26.8
28-04-2017,97,80.5,70,70,61.1,50,100,58.4,22,15,6.1,1,26.9,26.9,26.8
29-04-2017,95,79.2,68,70,60.7,50,100,57.2,24,18,6.3,1,26.9,26.9,26.8
30-04-2017,93,84.9,70,64,55.7,50,83,40,23,10,5.6,3,26.9,26.9,26.8
01-05-2017,93,80.1,73,68,58.7,50,78,50.1,23,18,8.7,1,26.9,26.9,26.8
02-05-2017,93,81.5,72,68,59.1,50,83,49.9,23,12,5.7,2,26.9,26.9,26.8
03-05-2017,91,78.2,70,77,68.1,61,100,73.5,36,14,4.6,0,26.9,26.9,26.8
04-05-2017,95,82,70,73,61.5,48,100,55.9,20,9,4.2,0,26.9,26.9,26.8
05-05-2017,97,84.6,72,73,62.9,48,100,53.3,19,12,6.4,2,26.9,26.9,26.8
06-05-2017,97,83.6,72,75,64.5,54,94,57.4,25,15,7.7,1,26.9,26.9,26.8
07-05-2017,95,78.6,70,73,65.1,55,100,69.4,26,21,8.8,1,27,26.9,26.8
08-05-2017,90,80.7,70,72,65.2,57,94,62.1,33,10,6.3,0,26.9,26.9,26.8
09-05-2017,88,75.6,68,73,68.7,59,100,80.9,46,17,7,1,26.9,26.8,26.8
10-05-2017,90,78.5,68,72,66.3,59,100,68.5,40,17,6,1,26.9,26.8,26.8
11-05-2017,88,79.2,72,72,68.5,63,100,71.2,46,12,5.9,0,26.9,26.8,26.8
12-05-2017,91,81.3,73,73,67.1,59,100,65.5,34,10,5.2,0,26.9,26.8,26.8
13-05-2017,91,82.8,73,77,67.5,57,100,63.9,31,12,5.8,0,26.9,26.8,26.7
14-05-2017,95,82.4,70,75,66.6,59,100,62.8,32,14,8.6,3,26.9,26.8,26.7
15-05-2017,93,79.5,70,73,67.3,63,100,70.6,36,23,9.3,1,26.9,26.8,26.7
16-05-2017,95,83.4,70,73,64.9,57,100,57.6,28,15,8.9,3,26.8,26.8,26.7
17-05-2017,93,82.4,72,77,68,63,100,66.4,36,14,9.9,5,26.8,26.8,26.7
18-05-2017,93,78.5,68,75,68.3,61,100,75.7,34,21,10.6,2,27,26.8,26.7
19-05-2017,90,79.4,68,75,68.2,61,100,70.9,43,14,8.7,2,26.9,26.8,26.8
20-05-2017,91,79.7,70,72,66.5,61,100,68.1,38,22,9.4,5,26.9,26.8,26.7
21-05-2017,90,80.4,72,77,69.3,64,100,71.8,43,12,6.7,2,26.8,26.8,26.7
22-05-2017,86,77.1,68,77,71.3,68,100,84.3,55,21,8.5,0,26.9,26.8,26.7
23-05-2017,90,80,68,75,67.8,63,100,70.1,43,24,6.6,0,26.9,26.8,26.7
24-05-2017,90,79.7,72,72,67.7,63,100,70.1,40,14,8.6,3,26.8,26.8,26.7
25-05-2017,90,81.1,72,75,72.1,66,100,76.7,49,16,10.1,1,26.8,26.8,26.7
26-05-2017,90,79.4,70,75,70.5,66,100,77.6,49,26,12.5,7,26.9,26.8,26.7
27-05-2017,86,74.7,68,77,71.8,68,100,91.8,66,24,9.3,2,26.8,26.7,26.6
28-05-2017,86,77.7,70,75,72.3,68,100,85.1,55,18,13.5,9,26.8,26.8,26.7
29-05-2017,88,79.8,72,73,67.3,61,100,68.8,40,17,11.1,5,26.8,26.7,26.7
30-05-2017,90,79.6,72,70,64.6,59,94,63,36,17,11.5,5,26.8,26.7,26.7
31-05-2017,86,80,72,68,62.8,57,83,57.7,37,15,11.6,8,26.8,26.8,26.7
01-06-2017,88,79.4,70,73,68.8,64,100,72.3,46,12,8.1,3,26.8,26.7,26.7
02-06-2017,88,79.9,72,72,69.3,66,100,71.3,49,20,12.2,0,26.8,26.8,26.7
03-06-2017,88,78.8,70,72,67.7,64,100,71,46,21,13.6,0,26.8,26.8,26.7
04-06-2017,86,78,70,77,69.3,64,100,76.8,48,14,9.6,3,26.9,26.8,26.8
05-06-2017,88,77.8,70,73,69.3,64,100,77.6,46,21,10.6,1,26.8,26.8,26.7
06-06-2017,88,79.2,72,73,69.2,64,100,73.9,46,20,11,5,26.9,26.8,26.7
07-06-2017,81,72.7,68,73,70.2,64,100,93,58,21,9.2,0,26.9,26.8,26.8
08-06-2017,81,74.4,70,72,69.7,66,100,85.9,65,17,11,3,26.9,26.8,26.8
09-06-2017,84,74.4,70,72,70,66,100,87.5,55,24,15,9,26.8,26.8,26.7
10-06-2017,81,74.5,70,73,70.1,66,100,87.5,61,21,14.5,6,26.8,26.8,26.7
11-06-2017,82,75.2,70,70,68.5,64,100,80.6,54,23,18,14,26.8,26.8,26.7
12-06-2017,77,72.7,70,73,71.9,70,100,97.5,83,17,12.4,0,26.8,26.8,26.7
13-06-2017,84,73.3,0,75,69.3,0,100,84.4,0,17,11.2,6,26.8,26.8,26.7
14-06-2017,88,79.4,72,73,69.1,64,100,73.2,46,17,12.3,9,26.8,26.8,26.7
15-06-2017,84,77.7,72,72,69.3,66,100,76.5,58,17,13.1,0,26.9,26.8,26.7
16-06-2017,82,73.8,70,75,71.7,68,100,94,62,15,9.9,0,26.8,26.8,26.8
17-06-2017,82,74.7,68,72,70.5,68,100,87.1,62,16,11.1,0,26.8,26.8,26.7
18-06-2017,84,76.4,68,73,70.2,66,100,82,55,17,11.4,5,26.8,26.8,26.7
19-06-2017,82,74.2,70,75,71.6,68,100,92.2,62,17,9.1,1,26.8,26.8,26.7
20-06-2017,84,75.8,70,73,69,64,100,81.3,51,18,12.9,7,26.8,26.8,26.7
21-06-2017,84,76.9,70,72,67.4,64,100,74.1,51,20,14.4,9,26.8,26.8,26.8
22-06-2017,84,76.6,70,72,68.1,63,100,76.7,48,15,12.1,7,26.8,26.8,26.8
23-06-2017,86,77.5,68,72,68.1,63,100,75.2,45,20,14.5,8,26.8,26.8,26.7
24-06-2017,84,74.2,0,72,67.2,0,100,78.8,0,21,14.7,0,26.8,26.2,0
25-06-2017,84,76.5,70,72,67.5,64,100,75.5,51,23,16.3,10,26.8,26.7,26.6
26-06-2017,84,76.2,70,72,67.5,63,100,75.9,48,25,16.9,0,26.8,26.8,26.7
27-06-2017,86,76.3,70,70,66.6,61,100,75,43,23,17,10,26.8,26.8,26.7
28-06-2017,84,76,70,70,65.5,59,100,72.8,42,26,18.2,12,26.8,26.8,26.7
29-06-2017,84,77.1,70,70,66,63,94,70.5,48,26,16.6,8,26.8,26.8,26.7
30-06-2017,84,77.7,70,70,66.7,64,100,70.2,51,22,15.1,7,26.8,26.8,26.7
01-07-2017,84,77.7,70,70,65.4,61,100,68.1,45,21,15.1,9,26.8,26.8,26.7
02-07-2017,88,78.2,70,70,66.4,61,100,69.7,40,17,13.4,3,26.8,26.8,26.7
03-07-2017,84,75.8,70,72,68.6,64,100,80.5,51,21,13.9,8,26.9,26.8,26.8
04-07-2017,82,75.7,70,72,68.6,64,100,80.3,54,21,13.2,7,26.9,26.8,26.8
05-07-2017,86,75.8,68,72,68,63,100,78.8,48,20,13.4,8,26.9,26.8,26.8
06-07-2017,84,75.8,68,72,67.8,61,100,78.7,45,22,12.9,5,26.9,26.8,26.7
07-07-2017,82,75.9,70,72,67.4,61,100,76.8,48,15,11.3,6,26.8,26.8,26.8
08-07-2017,82,74.8,70,72,69.2,63,100,84.1,54,16,10.4,5,26.8,26.8,26.8
09-07-2017,86,77.2,68,72,65.9,61,100,70.6,43,16,11.8,8,26.8,26.8,26.7
10-07-2017,86,77.8,70,70,66.4,61,100,70.7,43,17,12.7,7,26.9,26.8,26.8
11-07-2017,84,75.4,70,73,69,64,100,82.4,51,17,11,2,26.9,26.8,26.8
12-07-2017,82,75.2,70,70,67.3,63,100,78.4,51,16,11.1,6,26.8,26.8,26.8
13-07-2017,81,74.8,70,70,66.3,63,100,76.5,54,17,14.3,9,26.8,26.8,26.8
14-07-2017,81,73.8,70,70,65.5,61,100,76.8,54,23,15.1,8,26.8,26.8,26.8
15-07-2017,79,73.7,68,70,67.9,66,100,83,65,23,15.7,9,26.8,26.8,26.8
16-07-2017,82,75.1,68,72,66.4,63,100,76.6,51,24,16,0,26.8,26.8,26.7
17-07-2017,82,76.4,70,70,66,61,100,71.8,48,25,17.7,8,26.8,26.7,26.7
18-07-2017,79,74.2,70,73,69.8,68,100,86,69,22,16.6,13,26.8,26.7,26.7
19-07-2017,81,74.1,70,75,70.9,70,100,89.8,70,22,16.4,12,26.8,26.7,26.7
20-07-2017,84,75.4,68,72,64,55,100,69.5,45,26,18.2,10,26.8,26.7,26.7
21-07-2017,84,76.5,68,72,68.1,66,100,77.2,55,23,15.8,8,26.8,26.8,26.7
22-07-2017,86,75.6,0,75,67.8,0,100,77.3,0,18,12.3,0,26.9,26.3,0
23-07-2017,86,77.5,70,70,67.3,63,100,73.2,45,18,14.9,12,26.8,26.8,26.7
24-07-2017,86,77.6,70,72,66.8,63,100,71.8,45,21,14,0,26.8,26.8,26.7
25-07-2017,86,76.8,70,72,68.2,63,100,77.1,45,16,10.9,0,26.8,26.8,26.7
26-07-2017,88,77.8,70,70,67.8,64,100,73.8,46,20,13.3,5,26.8,26.8,26.7
27-07-2017,88,77.2,68,73,68,59,100,77,38,23,12.2,5,26.9,26.8,26.7
28-07-2017,88,77.2,70,73,68.7,61,100,77.9,40,17,11.3,6,26.9,26.8,26.8
29-07-2017,88,77.1,68,73,68.6,63,100,77.7,43,18,10.2,5,26.9,26.8,26.8
30-07-2017,84,76.5,70,73,69.7,63,100,81.5,48,15,9.1,2,26.9,26.8,26.7
31-07-2017,86,78.5,70,73,68,61,100,72.2,45,12,6.9,0,26.9,26.8,26.8
01-08-2017,88,79.4,72,72,66.7,61,100,67.7,40,16,9.2,5,26.9,26.8,26.7
02-08-2017,90,77.1,0,70,64.3,0,100,66,0,16,12.1,0,26.9,26.3,0
03-08-2017,86,76.6,70,72,68.2,63,100,77.6,45,18,13.4,0,26.9,26.8,26.7
04-08-2017,79,75.2,72,72,69.4,68,100,82.2,69,21,13.2,7,26.8,26.7,26.7
05-08-2017,86,75.7,70,75,69.8,63,100,83.7,45,17,10.9,5,26.8,26.7,26.7
06-08-2017,86,77.3,70,72,68.2,63,100,75.4,48,17,10.9,6,26.8,26.7,26.6
07-08-2017,84,76.1,70,77,70.2,64,100,83.6,51,18,8.5,0,26.8,26.8,26.7
08-08-2017,84,77.3,70,73,68.9,63,100,77.5,48,12,7,0,26.8,26.8,26.7
09-08-2017,82,75.1,70,75,70.8,66,100,87.8,58,21,8.2,1,26.8,26.8,26.7
10-08-2017,82,74.7,70,75,71.4,68,100,90.6,62,10,5.5,0,26.9,26.8,26.7
11-08-2017,77,73.1,70,77,72.4,70,100,98,89,14,6.1,0,26.9,26.8,26.8
12-08-2017,81,74.8,70,73,71.3,68,100,88.9,65,12,6.9,2,26.9,26.8,26.8
13-08-2017,77,73.3,70,72,70.9,70,100,91.5,78,10,5.8,0,26.9,26.9,26.8
14-08-2017,82,75.8,70,73,69.6,66,100,82.2,58,9,4.9,0,26.9,26.9,26.8
15-08-2017,82,73.8,68,73,70.2,66,100,90,58,15,8.3,0,26.9,26.8,26.8
16-08-2017,82,74,70,75,70.9,64,100,90.8,54,17,10.1,2,26.8,26.8,26.7
17-08-2017,81,73.6,68,73,70.2,68,100,89.9,65,20,10.1,2,26.8,26.7,26.7
18-08-2017,84,74.2,70,72,69.6,64,100,87.9,51,15,10.4,1,26.8,26.7,26.6
19-08-2017,82,72.7,68,73,70.1,66,100,92,58,22,12.4,6,26.8,26.7,26.6
20-08-2017,82,73.4,70,73,70.9,68,100,92.3,62,21,13,7,26.8,26.7,26.6
21-08-2017,82,75.4,70,73,71,68,100,86.8,62,16,11.5,3,26.8,26.7,26.6
22-08-2017,82,75.1,70,73,70,66,100,86,58,17,10.8,2,26.8,26.8,26.7
23-08-2017,84,75.3,68,73,70.5,66,100,86.2,58,15,9.2,3,26.8,26.8,26.7
24-08-2017,79,73.3,70,73,71.5,70,100,94.7,74,15,9.6,3,26.8,26.8,26.7
25-08-2017,81,72.2,0,75,70.5,0,100,92.6,0,16,10.1,0,26.8,26.2,0
26-08-2017,82,73.9,70,75,71.7,68,100,93.2,62,18,13.1,7,26.8,26.7,26.6
27-08-2017,81,73.8,70,75,71.9,70,100,93.9,74,18,13.4,9,26.7,26.7,26.6
28-08-2017,82,74.5,70,73,71.7,70,100,91.3,66,20,14.4,9,26.7,26.7,26.6
29-08-2017,82,75.6,70,73,71.3,68,100,87.1,65,18,14.2,9,26.8,26.7,26.6
30-08-2017,86,76.7,70,73,71,66,100,84.1,51,16,10.4,1,26.9,26.8,26.7
31-08-2017,86,78.3,70,77,70.7,63,100,79.5,48,12,6.9,1,26.9,26.8,26.8
01-09-2017,82,75.9,70,75,71.2,64,100,86.9,58,8,4.8,0,26.9,26.8,26.8
02-09-2017,82,74.4,70,75,72,68,100,93.2,62,15,6.1,0,26.9,26.8,26.8
03-09-2017,82,73.6,68,75,71.7,68,100,94.5,66,17,5.7,1,26.9,26.8,26.8
04-09-2017,84,76.3,68,77,72.7,68,100,89.7,58,12,5.4,0,26.9,26.8,26.8
05-09-2017,82,75.5,68,75,72.4,68,100,91,62,14,7,1,26.9,26.8,26.8
06-09-2017,82,74.3,68,77,72.4,68,100,94.5,74,12,5,0,26.8,26.8,26.7
07-09-2017,84,76,70,77,72.5,66,100,90.4,55,9,5.4,0,26.8,26.8,26.7
08-09-2017,82,74.2,70,75,71.4,70,100,91.8,66,12,4.6,1,26.8,26.8,26.7
09-09-2017,86,75.3,68,75,71.4,68,100,89.3,55,14,4.7,1,26.8,26.8,26.7
10-09-2017,81,75.1,70,75,72.6,70,100,92.8,70,13,5.2,0,26.8,26.8,26.7
11-09-2017,82,76.5,70,77,72.7,68,100,89.3,62,12,7,3,26.9,26.8,26.8
12-09-2017,84,77.3,72,75,72.2,68,100,86.2,58,10,7.2,1,26.9,26.8,26.8
13-09-2017,86,77.3,72,75,71.5,66,100,84.5,55,10,6.5,1,26.9,26.8,26.8
14-09-2017,86,76.9,72,73,71.1,66,100,84.8,51,16,8.7,0,26.9,26.8,26.7
15-09-2017,81,75.4,72,73,72.2,70,100,90.3,70,10,8.2,5,26.9,26.8,26.7
16-09-2017,82,75.4,70,72,71,68,100,86.8,62,17,12.9,8,26.8,26.8,26.7
17-09-2017,79,72.4,68,73,70.9,68,100,95.6,74,18,13.3,7,26.9,26.8,26.8
18-09-2017,82,74.3,68,72,69.4,66,100,85.8,58,24,16.3,10,26.9,26.8,26.8
19-09-2017,84,75,68,72,66.7,61,100,77.9,45,24,16,10,26.9,26.8,26.8
20-09-2017,84,74.8,68,70,65,59,100,74.1,42,24,14.9,8,26.8,26.8,26.7
21-09-2017,81,73.8,68,73,69,66,100,86,61,16,10.9,2,26.8,26.8,26.7
22-09-2017,82,74.9,68,72,68.6,64,100,82.3,58,13,6.8,0,26.9,26.8,26.8
23-09-2017,86,76.3,66,73,68.3,63,100,78.7,48,7,3.7,0,26.9,26.8,26.8
24-09-2017,82,75.8,68,75,71,68,100,86.3,62,15,6.1,1,26.9,26.8,26.8
25-09-2017,81,72.7,66,73,70.5,54,100,93.4,39,13,6.8,0,26.9,26.8,26.7
26-09-2017,81,74.7,68,75,71.9,68,100,91.7,70,13,5.8,0,26.8,26.8,26.7
27-09-2017,81,71.9,68,77,71.2,68,100,97.7,74,13,6.6,0,26.8,26.8,26.7
28-09-2017,79,73.4,68,75,71.6,68,100,94.8,78,12,8.5,2,26.8,26.8,26.7
29-09-2017,79,73.3,70,75,72,70,100,95.9,78,14,7.1,1,26.8,26.8,26.7
30-09-2017,81,74.3,70,73,72.3,70,100,94.1,74,10,5.7,0,26.9,26.8,26.8
01-10-2017,84,73.3,68,75,71.3,68,100,94.6,62,14,7.1,2,26.9,26.8,26.7
02-10-2017,81,75.3,68,75,72.3,68,100,91.5,70,9,5.6,0,26.8,26.8,26.7
03-10-2017,84,76,70,75,71.8,70,100,88.3,62,12,5.8,0,26.8,26.8,26.7
04-10-2017,84,74.3,70,75,71.5,55,100,92.4,42,18,5.3,0,26.9,26.8,26.7
05-10-2017,81,73.9,70,75,71.1,0,100,94.3,0,13,5.2,0,26.8,26.8,26.7
06-10-2017,81,74.1,70,77,72.2,70,100,94.7,74,13,5.1,1,26.8,26.8,26.7
07-10-2017,82,74.8,70,77,72.7,70,100,94.2,66,13,4.6,0,26.8,26.8,26.7
08-10-2017,84,76.8,72,77,72.8,70,100,88.5,62,13,6.1,0,26.8,26.8,26.7
09-10-2017,82,74.5,66,75,72.2,66,100,93.5,70,14,6.4,1,26.8,26.8,26.7
10-10-2017,84,73.8,0,77,70.3,0,100,88,0,9,3.4,0,26.8,26.2,0
11-10-2017,84,74.6,68,75,71.1,66,100,90.3,55,13,5.3,1,26.8,26.8,26.7
12-10-2017,81,74.2,68,77,72,68,100,93.8,65,9,4,1,26.8,26.8,26.7
13-10-2017,82,74.5,68,77,72.3,68,100,93.7,66,10,5.5,2,26.8,26.8,26.7
14-10-2017,81,72.7,70,77,71.9,70,100,97.9,79,12,6.4,1,26.8,26.8,26.7
15-10-2017,81,72.4,68,75,71.6,68,100,97.8,79,14,8.8,6,26.9,26.8,26.7
16-10-2017,75,72.1,68,75,71.6,68,100,98.5,89,12,6.3,0,26.9,26.8,26.8
17-10-2017,79,73.3,68,75,70.2,66,100,91.1,65,8,3.5,0,26.9,26.8,26.7
18-10-2017,82,73,64,73,65.8,57,100,81.8,42,12,4.7,0,26.8,26.8,26.7
19-10-2017,84,73.2,64,70,64.7,57,100,78.4,42,10,4,0,26.8,26.8,26.7
20-10-2017,84,75.1,64,73,66.3,54,100,78.5,35,9,3.9,0,26.9,26.8,26.8
21-10-2017,84,75.6,68,73,68.5,63,100,80.9,48,9,4.6,0,26.9,26.8,26.8
22-10-2017,84,73.1,63,70,61,50,100,71.4,32,10,4.7,0,26.9,26.9,26.8
23-10-2017,84,72.3,63,70,61.4,50,100,74.7,30,7,3,0,26.9,26.9,26.8
24-10-2017,86,75.2,63,73,65.3,57,100,75.4,40,6,3,0,26.9,26.9,26.8
25-10-2017,84,75,68,73,69.8,64,100,86.1,51,9,5.6,2,27,26.9,26.9
26-10-2017,82,73.2,68,73,69.3,66,100,89.2,58,14,5.8,0,27,26.9,26.9
27-10-2017,82,72.3,66,72,67.2,61,100,86.3,48,12,5.1,0,27,26.9,26.8
28-10-2017,82,73.1,66,70,64.3,57,100,77.9,42,13,5.8,0,27,26.9,26.9
29-10-2017,81,72.4,64,70,64.5,59,100,79.2,48,12,6.2,1,27,26.9,26.9
30-10-2017,77,68.4,66,70,66.3,63,100,93.8,65,15,7.4,1,27,26.9,26.9
31-10-2017,75,71.3,64,70,64.9,57,100,80.9,60,15,7.2,0,26.9,26.9,26.8
01-11-2017,75,69.7,66,72,67.7,63,100,93.7,78,10,5.7,0,26.9,26.9,26.8
02-11-2017,81,72,66,68,64.9,57,100,80.7,47,10,5.9,0,26.9,26.9,26.8
